"Reviews","Reviews"
"Show only reviews with 5 stars","Show only reviews with 5 stars"
"Show only reviews with 4 stars","Show only reviews with 4 stars"
"Show only reviews with 3 stars","Show only reviews with 3 stars"
"Show only reviews with 2 stars","Show only reviews with 2 stars"
"Show only reviews with 1 star","Show only reviews with 1 star"
"Customer recommended this product","Customer recommended this product"
"Show the latest reviews first","Show the latest reviews first"
"Show the oldest reviews first","Show the oldest reviews first"
"Show best reviews first","Show best reviews first"
"Show the worst reviews first","Show the worst reviews first"
"Show the best helpful reviews first","Show the best helpful reviews first"
"Show the worst helpful reviews first","Show the worst helpful reviews first"
"Show more reviews...","Show more reviews..."
"Is the review helpful for you?","Is the review helpful for you?"
"Report review?","Report review?"
"Yes","Yes"
"No","No"
"Feedback %s report %s","Feedback %s report %s"
"ShowReviews","ShowReviews"
"Review for the product","Review for the product"
"Review for the shop","Review for the shop"
"not really ok","not really ok"
"hm ok","hm ok"
"ok","ok"
"cool","cool"
"coolest","coolest"
"I recommend the product to a friend","I recommend the product to a friend"
"I recommend the shop to a friend","I recommend the shop to a friend"
"Send the review","Send the review"
"Review the product","Review the product",
"Title of the review","Title of the review"
"Content of the review","Content of the review"
"Thank you for the review","Thank you for the review"
"Can't send the review","Can't send the review"
"Shop Review Title","Shop Review"
"Shop Review Hint","You can give us a review of our shop, our shippment and price. Please use this %sFeedback form%s."
"Maximum Stars text","Maximum of Stars %s"
"Minimum Stars text","Minimum of Stars %s"
"verified","Verified customer"
"public","Public review"
"mobile","Review from mobile app"
"Write a product review","Write a product review"
"Please fill in the fellowing text","Please fill in the fellowing text"
"First product review for this product","First product review for this product."
